16.00 -89.00 28.00 | -76.00 22.00 -101.00
16.00 -90.00 28.00 | -77.00 22.00 -98.00
16.00 -91.00 26.00 | -77.00 22.00 -99.00
16.00 -91.00 26.00 | -76.00 21.00 -99.00
16.00 -90.00 28.00 | -77.00 22.00 -99.00
17.00 -90.00 28.00 | -77.00 22.00 -99.00
16.00 -91.00 27.00 | -76.00 21.00 -99.00
16.00 -90.00 27.00 | -77.00 22.00 -99.00
16.00 -91.00 27.00 | -77.00 22.00 -99.00
17.00 -90.00 27.00 | -77.00 22.00 -98.00
16.00 -91.00 27.00 | -78.00 22.00 -98.00
16.00 -90.00 27.00 | -78.00 22.00 -99.00
17.00 -90.00 27.00 | -78.00 22.00 -98.00
16.00 -91.00 28.00 | -78.00 22.00 -99.00
17.00 -91.00 27.00 | -78.00 22.00 -99.00
16.00 -90.00 27.00 | -77.00 22.00 -99.00
16.00 -90.00 28.00 | -77.00 22.00 -99.00
16.00 -90.00 27.00 | -77.00 23.00 -99.00
17.00 -90.00 27.00 | -77.00 22.00 -99.00
16.00 -90.00 28.00 | -77.00 21.00 -99.00
16.00 -90.00 29.00 | -77.00 22.00 -100.00
17.00 -90.00 27.00 | -76.00 21.00 -100.00
16.00 -89.00 28.00 | -77.00 21.00 -99.00
15.00 -91.00 28.00 | -77.00 22.00 -99.00
17.00 -91.00 27.00 | -78.00 22.00 -99.00
16.00 -91.00 28.00 | -77.00 22.00 -99.00
15.00 -91.00 28.00 | -77.00 21.00 -99.00
15.00 -91.00 28.00 | -78.00 21.00 -99.00
17.00 -91.00 28.00 | -79.00 22.00 -99.00
16.00 -91.00 27.00 | -78.00 22.00 -99.00
16.00 -91.00 28.00 | -78.00 22.00 -98.00
16.00 -91.00 28.00 | -78.00 22.00 -99.00
15.00 -91.00 29.00 | -78.00 22.00 -100.00
15.00 -91.00 28.00 | -78.00 22.00 -98.00
16.00 -91.00 27.00 | -78.00 22.00 -99.00
17.00 -90.00 29.00 | -78.00 21.00 -98.00
16.00 -91.00 28.00 | -78.00 22.00 -97.00
16.00 -90.00 28.00 | -78.00 23.00 -99.00
16.00 -90.00 27.00 | -78.00 22.00 -99.00
17.00 -90.00 28.00 | -78.00 21.00 -99.00
17.00 -91.00 28.00 | -78.00 22.00 -99.00
16.00 -90.00 28.00 | -78.00 22.00 -99.00
16.00 -90.00 28.00 | -78.00 22.00 -100.00
17.00 -91.00 29.00 | -78.00 22.00 -99.00
16.00 -90.00 29.00 | -78.00 22.00 -100.00
16.00 -91.00 29.00 | -78.00 22.00 -98.00
17.00 -90.00 29.00 | -78.00 22.00 -99.00
16.00 -91.00 28.00 | -78.00 21.00 -100.00
17.00 -90.00 28.00 | -77.00 21.00 -100.00
16.00 -90.00 28.00 | -77.00 22.00 -99.00
16.00 -89.00 29.00 | -77.00 21.00 -99.00
16.00 -90.00 29.00 | -78.00 21.00 -99.00
16.00 -91.00 27.00 | -78.00 22.00 -98.00
16.00 -90.00 28.00 | -78.00 21.00 -100.00
16.00 -90.00 29.00 | -78.00 22.00 -99.00
16.00 -90.00 28.00 | -78.00 21.00 -99.00
17.00 -90.00 30.00 | -78.00 21.00 -100.00
15.00 -91.00 29.00 | -77.00 21.00 -99.00
17.00 -91.00 29.00 | -78.00 23.00 -99.00
17.00 -91.00 28.00 | -78.00 21.00 -99.00
15.00 -90.00 29.00 | -78.00 21.00 -99.00
17.00 -91.00 29.00 | -77.00 20.00 -98.00
18.00 -91.00 28.00 | -78.00 22.00 -99.00
16.00 -91.00 29.00 | -79.00 21.00 -99.00
15.00 -90.00 29.00 | -78.00 21.00 -99.00
16.00 -90.00 28.00 | -77.00 22.00 -99.00
16.00 -89.00 29.00 | -77.00 21.00 -98.00
16.00 -90.00 29.00 | -78.00 22.00 -99.00
16.00 -90.00 29.00 | -78.00 22.00 -99.00
17.00 -89.00 29.00 | -77.00 23.00 -99.00
17.00 -89.00 29.00 | -78.00 22.00 -99.00
16.00 -90.00 29.00 | -77.00 21.00 -99.00
16.00 -90.00 29.00 | -78.00 21.00 -100.00
17.00 -90.00 29.00 | -78.00 21.00 -100.00
16.00 -90.00 28.00 | -78.00 20.00 -100.00
17.00 -89.00 28.00 | -78.00 21.00 -99.00
17.00 -89.00 30.00 | -77.00 21.00 -100.00
17.00 -89.00 29.00 | -77.00 21.00 -100.00
17.00 -90.00 29.00 | -79.00 21.00 -99.00
16.00 -90.00 29.00 | -77.00 21.00 -100.00
16.00 -89.00 29.00 | -77.00 21.00 -99.00
17.00 -89.00 29.00 | -78.00 21.00 -100.00
18.00 -90.00 30.00 | -78.00 21.00 -100.00
17.00 -89.00 30.00 | -77.00 21.00 -100.00
15.00 -89.00 29.00 | -77.00 21.00 -99.00
17.00 -89.00 29.00 | -78.00 21.00 -100.00
17.00 -89.00 29.00 | -78.00 21.00 -100.00
17.00 -89.00 29.00 | -77.00 21.00 -98.00
16.00 -90.00 30.00 | -79.00 22.00 -98.00
17.00 -90.00 29.00 | -78.00 22.00 -100.00
16.00 -89.00 29.00 | -78.00 21.00 -99.00
16.00 -90.00 29.00 | -78.00 20.00 -99.00
16.00 -90.00 29.00 | -78.00 21.00 -99.00
17.00 -90.00 29.00 | -79.00 22.00 -98.00
17.00 -90.00 29.00 | -79.00 22.00 -100.00
17.00 -90.00 29.00 | -78.00 21.00 -99.00
16.00 -90.00 29.00 | -78.00 20.00 -100.00
16.00 -89.00 30.00 | -77.00 22.00 -100.00
17.00 -89.00 30.00 | -77.00 21.00 -99.00
16.00 -89.00 29.00 | -78.00 21.00 -99.00
17.00 -90.00 30.00 | -78.00 21.00 -99.00
17.00 -89.00 30.00 | -77.00 22.00 -99.00
16.00 -89.00 30.00 | -77.00 20.00 -99.00
16.00 -90.00 30.00 | -78.00 21.00 -99.00
17.00 -89.00 30.00 | -77.00 22.00 -101.00
17.00 -90.00 29.00 | -78.00 22.00 -99.00
17.00 -89.00 30.00 | -77.00 21.00 -100.00
16.00 -90.00 29.00 | -78.00 20.00 -100.00
17.00 -89.00 29.00 | -77.00 21.00 -100.00
18.00 -89.00 30.00 | -78.00 22.00 -100.00
16.00 -89.00 30.00 | -79.00 21.00 -99.00
17.00 -90.00 29.00 | -78.00 21.00 -99.00
18.00 -89.00 30.00 | -78.00 20.00 -100.00
16.00 -89.00 29.00 | -78.00 21.00 -99.00
17.00 -89.00 30.00 | -79.00 21.00 -99.00
16.00 -90.00 29.00 | -78.00 21.00 -99.00
17.00 -89.00 30.00 | -78.00 22.00 -100.00
18.00 -89.00 30.00 | -79.00 21.00 -100.00
17.00 -90.00 29.00 | -78.00 20.00 -100.00
16.00 -90.00 30.00 | -78.00 21.00 -101.00


22.00 -114.00 4.00 | -57.00 22.00 -131.00
21.00 -114.00 4.00 | -56.00 22.00 -129.00
23.00 -114.00 5.00 | -57.00 22.00 -131.00
21.00 -114.00 5.00 | -56.00 21.00 -131.00
